id	rate
40001	5.8
40003	3.6
40005	7.1
40007	3.2
40009	7.7
40011	3.7
40013	4.3
40015	5.6
40017	4.3
40019	5.4
40021	5.6
40023	8.3
40025	2.7
40027	4.0
40029	7.5
40031	4.8
40033	5.2
40035	4.9
40037	6.3
40039	4.9
40041	5.2
40043	4.1
40045	3.7
40047	4.5
40049	5.7
40051	5.2
40053	3.1
40055	7.9
40057	3.6
40059	4.3
40061	8.8
40063	7.5
40065	4.9
40067	8.0
40069	6.5
40071	6.7
40073	3.6
40075	5.6
40077	9.7
40079	7.4
40081	5.5
40083	4.3
40085	3.3
40087	4.3
40089	7.7
40091	9.5
40093	4.3
40095	5.1
40097	5.5
40099	4.3
40101	6.0
40103	4.0
40105	6.5
40107	6.1
40109	4.5
40111	7.4
40113	6.1
40115	5.3
40117	7.1
40119	3.9
40121	6.5
40123	4.2
40125	5.0
40127	7.7
40129	5.4
40131	5.6
40133	7.3
40135	6.5
40137	10.4
40139	3.5
40141	4.5
40143	5.2
40145	5.2
40147	5.0
40149	7.2
40151	3.3
40153	6.4
